town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,_id,block,time,lease_years,lease_years_int,size_sqft,cost_psf,days_ago,storey_min,storey_max,storey_mid,full_name,group_count,group_storey_min,group_storey_max,storey_rank,group_cost_psf_max,group_cost_psf_max_date,year
SEMBAWANG,5 ROOM,Improved,121.0,CANBERRA RD,496888.0,2013-01,,1998,10 TO 12,21010,307,2013-01-01,84.48904109589041,84,1302.4319,381.5078546525158,-3532,10,12,11.0,CANBERRA RD 1998,868,2,20,0.5,458.0189271611526,2021-09-01,2013
SEMBAWANG,4 ROOM,Premium Apartment,96.0,ADMIRALTY DR,495000.0,2013-01,,2001,10 TO 12,21008,357,2013-01-01,87.49178082191781,87,1033.3344,479.031763580115,-3532,10,12,11.0,ADMIRALTY DR 2001,2372,2,20,0.5,479.96690692719966,2022-08-01,2013
SEMBAWANG,5 ROOM,Improved,110.0,SEMBAWANG DR,492000.0,2013-01,,2001,07 TO 09,21007,413,2013-01-01,87.49178082191781,87,1184.029,415.53036285428817,-3532,7,9,8.0,SEMBAWANG DR 2001,741,2,15,0.4615384615384615,474.8382195218379,2022-05-01,2013
SEMBAWANG,5 ROOM,Improved,110.0,CANBERRA RD,510000.0,2013-01,,2001,04 TO 06,21018,351C,2013-01-01,87.49178082191781,87,1184.029,430.7326932026158,-3532,4,6,5.0,CANBERRA RD 2001,1328,2,15,0.2307692307692307,536.3287699915298,2022-07-01,2013
SEMBAWANG,5 ROOM,Premium Apartment,111.0,ADMIRALTY DR,491388.0,2013-01,,2001,07 TO 09,21006,359,2013-01-01,87.49178082191781,87,1194.7929,411.2746234096303,-3532,7,9,8.0,ADMIRALTY DR 2001,2372,2,20,0.3333333333333333,479.96690692719966,2022-08-01,2013
SEMBAWANG,5 ROOM,Improved,110.0,CANBERRA RD,480000.0,2013-01,,2001,04 TO 06,21004,418,2013-01-01,87.49178082191781,87,1184.029,405.3954759554031,-3532,4,6,5.0,CANBERRA RD 2001,1328,2,15,0.2307692307692307,536.3287699915298,2022-07-01,2013
SEMBAWANG,5 ROOM,Improved,121.0,SEMBAWANG CRES,476000.0,2013-01,,1999,04 TO 06,21003,336,2013-01-01,85.48904109589041,85,1302.4319,365.4701639294922,-3532,4,6,5.0,SEMBAWANG CRES 1999,603,2,20,0.1666666666666666,473.7139792259403,2022-07-01,2013
SEMBAWANG,5 ROOM,Premium Apartment,118.0,ADMIRALTY DR,475000.0,2013-01,,2001,04 TO 06,21002,469A,2013-01-01,87.49178082191781,87,1270.1402,373.9744636064585,-3532,4,6,5.0,ADMIRALTY DR 2001,2372,2,20,0.1666666666666666,479.96690692719966,2022-08-01,2013
SEMBAWANG,4 ROOM,Premium Apartment,102.0,ADMIRALTY DR,470000.0,2013-01,,2001,10 TO 12,21001,469A,2013-01-01,87.49178082191781,87,1097.9178,428.0830495689204,-3532,10,12,11.0,ADMIRALTY DR 2001,2372,2,20,0.5,479.96690692719966,2022-08-01,2013
TOA PAYOH,4 ROOM,Improved,82.0,LOR 8 TOA PAYOH,400000.0,2013-01,,1975,04 TO 06,21324,214,2013-01-01,61.47260273972603,61,882.6397999999999,453.18599954364174,-3532,4,6,5.0,LOR 8 TOA PAYOH 1975,324,2,27,0.12,519.9315515816921,2022-08-01,2013
TOA PAYOH,3 ROOM,Improved,66.0,LOR 1 TOA PAYOH,390000.0,2013-01,,1972,07 TO 09,21320,173,2013-01-01,58.46986301369863,58,710.4173999999999,548.9730403562751,-3532,7,9,8.0,LOR 1 TOA PAYOH 1972,919,2,15,0.4615384615384615,668.4493493268716,2013-04-01,2013
SENGKANG,4 ROOM,Premium Apartment,90.0,FERNVALE RD,512888.0,2013-01,,2005,19 TO 21,21095,407A,2013-01-01,91.4945205479452,91,968.751,529.4322276828617,-3532,19,21,20.0,FERNVALE RD 2005,413,2,27,0.72,537.8602257741643,2022-07-01,2013
TOA PAYOH,3 ROOM,Improved,67.0,LOR 1 TOA PAYOH,391000.0,2013-01,,1970,16 TO 18,21321,126,2013-01-01,56.46986301369863,56,721.1813,542.1660267674716,-3532,16,18,17.0,LOR 1 TOA PAYOH 1970,1189,2,18,0.9375,572.6715321098869,2012-02-01,2013
TOA PAYOH,3 ROOM,Improved,67.0,LOR 1 TOA PAYOH,398000.0,2013-01,,1971,10 TO 12,21323,157,2013-01-01,57.46986301369863,57,721.1813,551.8723239218765,-3532,10,12,11.0,LOR 1 TOA PAYOH 1971,244,2,12,0.9,579.6046015058904,2013-05-01,2013
TOA PAYOH,3 ROOM,Improved,68.0,LOR 4 TOA PAYOH,395000.0,2013-01,,1972,13 TO 15,21322,85C,2013-01-01,58.46986301369863,58,731.9452,539.6578869565645,-3532,13,15,14.0,LOR 4 TOA PAYOH 1972,385,2,24,0.5454545454545454,588.8418969070362,2012-11-01,2013
SEMBAWANG,5 ROOM,Improved,116.0,SEMBAWANG CL,480000.0,2013-01,,1999,16 TO 18,21005,335,2013-01-01,85.48904109589041,85,1248.6124,384.4267444404685,-3532,16,18,17.0,SEMBAWANG CL 1999,1306,2,18,0.9375,448.7221174481369,2022-03-01,2013
SENGKANG,4 ROOM,Model A,95.0,RIVERVALE DR,421000.0,2013-01,,2000,01 TO 03,21045,117A,2013-01-01,86.48904109589041,86,1022.5705,411.7075546380421,-3532,2,3,2.5,RIVERVALE DR 2000,1769,2,20,0.0277777777777777,494.40622176300246,2022-06-01,2013
SEMBAWANG,5 ROOM,Improved,121.0,SEMBAWANG VISTA,510000.0,2013-01,,1999,10 TO 12,21019,317,2013-01-01,85.48904109589041,85,1302.4319,391.57517563874165,-3532,10,12,11.0,SEMBAWANG VISTA 1999,425,2,18,0.5625,483.0962755135221,2022-08-01,2013
SEMBAWANG,5 ROOM,Premium Apartment,110.0,SEMBAWANG DR,515000.0,2013-01,,2006,07 TO 09,21021,466C,2013-01-01,92.4945205479452,92,1184.029,434.955562743818,-3532,7,9,8.0,SEMBAWANG DR 2006,306,2,21,0.3157894736842105,510.96721448545605,2022-05-01,2013
SENGKANG,4 ROOM,Model A2,85.0,RIVERVALE CRES,410000.0,2013-01,,2003,07 TO 09,21043,183D,2013-01-01,89.49178082191781,89,914.9315,448.12097954874224,-3532,7,9,8.0,RIVERVALE CRES 2003,1308,2,20,0.3333333333333333,494.1655846087583,2012-03-01,2013
SENGKANG,4 ROOM,Model A2,85.0,RIVERVALE CRES,410000.0,2013-01,,2000,01 TO 03,21042,185D,2013-01-01,86.48904109589041,86,914.9315,448.12097954874224,-3532,2,3,2.5,RIVERVALE CRES 2000,346,2,18,0.03125,503.86285749261015,2022-07-01,2013
SENGKANG,4 ROOM,Model A,95.0,RIVERVALE DR,405000.0,2013-01,,2000,01 TO 03,21041,188B,2013-01-01,86.48904109589041,86,1022.5705,396.06071170643,-3532,2,3,2.5,RIVERVALE DR 2000,1769,2,20,0.0277777777777777,494.40622176300246,2022-06-01,2013
